07C | 770A4661 | FF75 0C                  | push dword ptr ss:[ebp+C]               | esp: 19FED4-> 19FED0                              | 0019FEE8: 0-> 0 0019FED0: 0-> 0   | [ebp+0C]:"444"
07D | 770A4664 | FF75 08                  | push dword ptr ss:[ebp+8]               | esp: 19FED0-> 19FECC                              | 0019FEE4: 24-> 24 0019FECC: 0-> 2 | [ebp+08]:"%s"
07E | 770A4667 | E8 05000000              | call ucrtbase.770A4671                  | esp: 19FECC-> 19FEC8                              | 0019FEC8: 24-> 770A466C           |
07F | 770A4671 | 8BFF                     | mov edi,edi                             |                                                   |                                   |
080 | 770A4673 | 55                       | push ebp                                | esp: 19FEC8-> 19FEC4                              | 0019FEC4: 770A466C-> 19FEDC       |
081 | 770A4674 | 8BEC                     | mov ebp,esp                             | ebp: 19FEDC-> 19FEC4                              |                                   |
082 | 770A4676 | 83EC 24                  | sub esp,24                              | esp: 19FEC4-> 19FEA0 eflags: 202-> 206            |                                   |
083 | 770A4679 | 8955 F8                  | mov dword ptr ss:[ebp-8],edx            |                                                   | 0019FEBC: 771902F0-> 402104       |
084 | 770A467C | 894D FC                  | mov dword ptr ss:[ebp-4],ecx            |                                                   | 0019FEC0: 19FED8-> 77190328       | [ebp-04]:&"444"
085 | 770A467F | 53                       | push ebx                                | esp: 19FEA0-> 19FE9C                              | 0019FE9C: 19FEBC-> 263000         |
086 | 770A4680 | 56                       | push esi                                | esp: 19FE9C-> 19FE98                              | 0019FE98: 263000-> C60760         | esi:&"E:\\新建文件夹11\\unicorn\\Emu\\Release\\Sample.vmp.exe"
087 | 770A4681 | 57                       | push edi                                | esp: 19FE98-> 19FE94                              | 0019FE94: C60760-> C5FB48         | edi:&"ALLUSERSPROFILE=C:\\ProgramData"
088 | 770A4682 | 85C9                     | test ecx,ecx                            |                                                   |                                   | ecx:&"444"
089 | 770A4684 | 0F84 91C20400            | je ucrtbase.770F091B                    |                                                   |                                   |
08A | 770A468A | 85D2                     | test edx,edx                            | eflags: 206-> 202                                 |                                   | edx:"%s"
08B | 770A468C | 0F84 89C20400            | je ucrtbase.770F091B                    |                                                   |                                   |
08C | 770A4692 | 8D45 FC                  | lea eax,dword ptr ss:[ebp-4]            | eax: 4034D8-> 19FEC0                              |                                   | [ebp-04]:&"444"
08D | 770A4695 | 894D F4                  | mov dword ptr ss:[ebp-C],ecx            |                                                   | 0019FEB8: 4020F8-> 77190328       | [ebp-0C]:&"444"
08E | 770A4698 | 8945 DC                  | mov dword ptr ss:[ebp-24],eax           |                                                   | 0019FEA0: 19FEBC-> 19FEC0         |
08F | 770A469B | 8D45 10                  | lea eax,dword ptr ss:[ebp+10]           | eax: 19FEC0-> 19FED4                              |                                   |
090 | 770A469E | 8945 E0                  | mov dword ptr ss:[ebp-20],eax           |                                                   | 0019FEA4: 19FEC8-> 19FED4         |
091 | 770A46A1 | 8D45 08                  | lea eax,dword ptr ss:[ebp+8]            | eax: 19FED4-> 19FECC                              |                                   | [ebp+08]:"%s"
092 | 770A46A4 | 8945 E4                  | mov dword ptr ss:[ebp-1C],eax           |                                                   | 0019FEA8: 19FEB8-> 19FECC         | [ebp-1C]:scanf+1E
093 | 770A46A7 | 8D45 F8                  | lea eax,dword ptr ss:[ebp-8]            | eax: 19FECC-> 19FEBC                              |                                   |
094 | 770A46AA | 8945 E8                  | mov dword ptr ss:[ebp-18],eax           |                                                   | 0019FEAC: 19FED4-> 19FEBC         | [ebp-18]:&"\n\n"
095 | 770A46AD | 8D45 14                  | lea eax,dword ptr ss:[ebp+14]           | eax: 19FEBC-> 19FED8                              |                                   | [ebp+14]:__scrt_common_main_seh+FA
096 | 770A46B0 | 8945 EC                  | mov dword ptr ss:[ebp-14],eax           |                                                   | 0019FEB0: 771902F0-> 19FED8       | [ebp-14]:"%s"
097 | 770A46B3 | 8D45 F4                  | lea eax,dword ptr ss:[ebp-C]            | eax: 19FED8-> 19FEB8                              |                                   | [ebp-0C]:&"444"
098 | 770A46B6 | 50                       | push eax                                | esp: 19FE94-> 19FE90                              | 0019FE90: C5FB48-> 19FEB8         | eax:&"\n\n"
099 | 770A46B7 | 8D45 DC                  | lea eax,dword ptr ss:[ebp-24]           | eax: 19FEB8-> 19FEA0                              |                                   |
09A | 770A46BA | 894D F0                  | mov dword ptr ss:[ebp-10],ecx           |                                                   | 0019FEB4: 771902F0-> 77190328     |
09B | 770A46BD | 50                       | push eax                                | esp: 19FE90-> 19FE8C                              | 0019FE8C: 19FEB8-> 19FEA0         | eax:&"\n\n"
09C | 770A46BE | 8D45 F0                  | lea eax,dword ptr ss:[ebp-10]           | eax: 19FEA0-> 19FEB4                              |                                   |
09D | 770A46C1 | 50                       | push eax                                | esp: 19FE8C-> 19FE88                              | 0019FE88: 19FEA0-> 19FEB4         | eax:&"\n\n"
09E | 770A46C2 | E8 05000000              | call ucrtbase.770A46CC                  | esp: 19FE88-> 19FE84                              | 0019FE84: 19FEB4-> 770A46C7       |
09F | 770A46CC | 6A 0C                    | push C                                  | esp: 19FE84-> 19FE80                              | 0019FE80: 770A46C7-> C            |
0A0 | 770A46CE | 68 00CA1777              | push ucrtbase.7717CA00                  | esp: 19FE80-> 19FE7C                              | 0019FE7C: C-> 7717CA00            |
